HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at age 60 (years),Philippines,2019,Female,14.62,13.0,122.0
Healthy life expectancy (HALE) at age 60 (years),Malaysia,2019,Both sexes,14.63,2.5,112.5
Healthy life expectancy (HALE) at age 60 (years),Saint Lucia,2019,Male,14.65,13.88,-61.13
Healthy life expectancy (HALE) at age 60 (years),Bhutan,2019,Female,14.67,27.5,90.5
Healthy life expectancy (HALE) at age 60 (years),Brunei Darussalam,2019,Female,14.67,4.5,114.67
Healthy life expectancy (HALE) at age 60 (years),Turkmenistan,2019,Both sexes,14.72,40.0,60.0
Healthy life expectancy (HALE) at age 60 (years),Czechia,2019,Male,14.75,,
Healthy life expectancy (HALE) at age 60 (years),Viet Nam,2019,Both sexes,14.76,,
Healthy life expectancy (HALE) at age 60 (years),Argentina,2019,Male,14.77,-34.0,-64.0
Healthy life expectancy (HALE) at age 60 (years),South Africa,2019,Female,14.77,-29.0,24.0
Healthy life expectancy (HALE) at age 60 (years),Kazakhstan,2019,Both sexes,14.8,48.0,68.0
Healthy life expectancy (HALE) at age 60 (years),Dominican Republic,2019,Male,14.81,19.0,-70.67
Healthy life expectancy (HALE) at age 60 (years),Estonia,2019,Male,14.84,59.0,26.0
Healthy life expectancy (HALE) at age 60 (years),Poland,2019,Male,14.86,52.0,20.0
Healthy life expectancy (HALE) at age 60 (years),Uruguay,2019,Male,14.86,-33.0,-56.0
Healthy life expectancy (HALE) at age 60 (years),Cabo Verde,2019,Both sexes,14.87,,
Healthy life expectancy (HALE) at age 60 (years),Democratic People's Republic of Korea,2019,Both sexes,14.88,,
Healthy life expectancy (HALE) at age 60 (years),Serbia,2019,Both sexes,14.9,44.0,21.0
Healthy life expectancy (HALE) at age 60 (years),Bahamas,2019,Male,14.92,24.25,-76.0
Healthy life expectancy (HALE) at age 60 (years),Montenegro,2019,Both sexes,14.92,42.0,19.0
Healthy life expectancy (HALE) at age 60 (years),The former Yugoslav Republic of Macedonia,2019,Female,14.92,,
Healthy life expectancy (HALE) at age 60 (years),Ukraine,2019,Both sexes,14.97,49.0,32.0
Healthy life expectancy (HALE) at age 60 (years),China,2019,Male,14.99,35.0,105.0
Healthy life expectancy (HALE) at age 60 (years),Iraq,2019,Female,15.0,33.0,44.0
Healthy life expectancy (HALE) at age 60 (years),Venezuela (Bolivarian Republic of),2019,Male,15.01,,
Healthy life expectancy (HALE) at age 60 (years),Guatemala,2019,Both sexes,15.03,15.5,-90.25
Healthy life expectancy (HALE) at age 60 (years),Lebanon,2019,Both sexes,15.03,33.83,35.83
Healthy life expectancy (HALE) at age 60 (years),Russian Federation,2019,Both sexes,15.03,60.0,100.0
Healthy life expectancy (HALE) at age 60 (years),Nicaragua,2019,Both sexes,15.08,13.0,-85.0
Healthy life expectancy (HALE) at age 60 (years),Qatar,2019,Male,15.09,25.5,51.25
Healthy life expectancy (HALE) at age 60 (years),Belarus,2019,Both sexes,15.11,53.0,28.0
Healthy life expectancy (HALE) at age 60 (years),El Salvador,2019,Male,15.13,13.83,-88.92
Healthy life expectancy (HALE) at age 60 (years),Tunisia,2019,Male,15.15,34.0,9.0
Healthy life expectancy (HALE) at age 60 (years),Brazil,2019,Male,15.18,-10.0,-55.0
Healthy life expectancy (HALE) at age 60 (years),Cuba,2019,Male,15.2,21.5,-80.0
Healthy life expectancy (HALE) at age 60 (years),Bosnia and Herzegovina,2019,Both sexes,15.21,44.0,18.0
Healthy life expectancy (HALE) at age 60 (years),Bulgaria,2019,Both sexes,15.24,43.0,25.0
Healthy life expectancy (HALE) at age 60 (years),Malaysia,2019,Female,15.26,2.5,112.5
Healthy life expectancy (HALE) at age 60 (years),Mexico,2019,Male,15.26,23.0,-102.0
Healthy life expectancy (HALE) at age 60 (years),Antigua and Barbuda,2019,Male,15.27,17.05,-61.8
Healthy life expectancy (HALE) at age 60 (years),Libya,2019,Male,15.27,,
Healthy life expectancy (HALE) at age 60 (years),United Arab Emirates,2019,Female,15.27,24.0,54.0
Healthy life expectancy (HALE) at age 60 (years),Uzbekistan,2019,Female,15.28,41.0,64.0
Healthy life expectancy (HALE) at age 60 (years),Hungary,2019,Both sexes,15.3,47.0,20.0
Healthy life expectancy (HALE) at age 60 (years),Sri Lanka,2019,Both sexes,15.3,7.0,81.0
Healthy life expectancy (HALE) at age 60 (years),Bangladesh,2019,Male,15.36,24.0,90.0
Healthy life expectancy (HALE) at age 60 (years),Seychelles,2019,Female,15.41,-4.58,55.67
Healthy life expectancy (HALE) at age 60 (years),Saint Vincent and the Grenadines,2019,Male,15.42,13.25,-61.2
Healthy life expectancy (HALE) at age 60 (years),Suriname,2019,Female,15.42,4.0,-56.0
Healthy life expectancy (HALE) at age 60 (years),Paraguay,2019,Male,15.44,-23.0,-58.0
Healthy life expectancy (HALE) at age 60 (years),Bangladesh,2019,Both sexes,15.5,24.0,90.0
Healthy life expectancy (HALE) at age 60 (years),Jamaica,2019,Male,15.5,18.25,-77.5
Healthy life expectancy (HALE) at age 60 (years),Guatemala,2019,Female,15.54,15.5,-90.25
Healthy life expectancy (HALE) at age 60 (years),Libya,2019,Both sexes,15.54,,
Healthy life expectancy (HALE) at age 60 (years),Grenada,2019,Female,15.56,12.12,-61.67
Healthy life expectancy (HALE) at age 60 (years),Mauritius,2019,Female,15.56,-20.28,57.55
Healthy life expectancy (HALE) at age 60 (years),Trinidad and Tobago,2019,Male,15.57,11.0,-61.0
Healthy life expectancy (HALE) at age 60 (years),Iran (Islamic Republic of),2019,Male,15.59,,
Healthy life expectancy (HALE) at age 60 (years),United States of America,2019,Male,15.59,,
Healthy life expectancy (HALE) at age 60 (years),Latvia,2019,Both sexes,15.64,57.0,25.0
Healthy life expectancy (HALE) at age 60 (years),Turkmenistan,2019,Female,15.65,40.0,60.0
Healthy life expectancy (HALE) at age 60 (years),Bangladesh,2019,Female,15.66,24.0,90.0
Healthy life expectancy (HALE) at age 60 (years),Romania,2019,Both sexes,15.66,46.0,25.0
Healthy life expectancy (HALE) at age 60 (years),Barbados,2019,Male,15.68,13.17,-59.53
Healthy life expectancy (HALE) at age 60 (years),Kyrgyzstan,2019,Both sexes,15.68,41.0,75.0
Healthy life expectancy (HALE) at age 60 (years),Iran (Islamic Republic of),2019,Both sexes,15.72,,
Healthy life expectancy (HALE) at age 60 (years),Tonga,2019,Female,15.72,-20.0,-175.0
Healthy life expectancy (HALE) at age 60 (years),Armenia,2019,Both sexes,15.73,40.0,45.0
Healthy life expectancy (HALE) at age 60 (years),Libya,2019,Female,15.78,,
Healthy life expectancy (HALE) at age 60 (years),Türkiye,2019,Male,15.79,,
Healthy life expectancy (HALE) at age 60 (years),Iran (Islamic Republic of),2019,Female,15.81,,
Healthy life expectancy (HALE) at age 60 (years),Saint Lucia,2019,Both sexes,15.81,13.88,-61.13
Healthy life expectancy (HALE) at age 60 (years),Antigua and Barbuda,2019,Both sexes,15.83,17.05,-61.8
Healthy life expectancy (HALE) at age 60 (years),Democratic People's Republic of Korea,2019,Female,15.83,,
Healthy life expectancy (HALE) at age 60 (years),Belize,2019,Male,15.9,17.25,-88.75
Healthy life expectancy (HALE) at age 60 (years),Albania,2019,Male,15.91,41.0,20.0
Healthy life expectancy (HALE) at age 60 (years),Algeria,2019,Male,15.91,28.0,3.0
Healthy life expectancy (HALE) at age 60 (years),Saint Vincent and the Grenadines,2019,Both sexes,15.91,13.25,-61.2
Healthy life expectancy (HALE) at age 60 (years),China,2019,Both sexes,15.92,35.0,105.0
Healthy life expectancy (HALE) at age 60 (years),Lithuania,2019,Both sexes,15.92,56.0,24.0
Healthy life expectancy (HALE) at age 60 (years),Republic of Moldova,2019,Female,15.98,,
Healthy life expectancy (HALE) at age 60 (years),Dominican Republic,2019,Both sexes,15.99,19.0,-70.67
Healthy life expectancy (HALE) at age 60 (years),Tunisia,2019,Both sexes,15.99,34.0,9.0
Healthy life expectancy (HALE) at age 60 (years),Algeria,2019,Both sexes,16.02,28.0,3.0
Healthy life expectancy (HALE) at age 60 (years),Serbia,2019,Female,16.02,44.0,21.0
Healthy life expectancy (HALE) at age 60 (years),Georgia,2019,Female,16.07,42.0,43.5
Healthy life expectancy (HALE) at age 60 (years),Mexico,2019,Both sexes,16.07,23.0,-102.0
Healthy life expectancy (HALE) at age 60 (years),Algeria,2019,Female,16.16,28.0,3.0
Healthy life expectancy (HALE) at age 60 (years),Bahamas,2019,Both sexes,16.16,24.25,-76.0
Healthy life expectancy (HALE) at age 60 (years),Kazakhstan,2019,Female,16.16,48.0,68.0
Healthy life expectancy (HALE) at age 60 (years),Jordan,2019,Female,16.17,31.0,36.0
Healthy life expectancy (HALE) at age 60 (years),Lebanon,2019,Female,16.18,33.83,35.83
Healthy life expectancy (HALE) at age 60 (years),Jordan,2019,Both sexes,16.23,31.0,36.0
Healthy life expectancy (HALE) at age 60 (years),Croatia,2019,Both sexes,16.24,45.17,15.5
Healthy life expectancy (HALE) at age 60 (years),Bosnia and Herzegovina,2019,Female,16.25,44.0,18.0
Healthy life expectancy (HALE) at age 60 (years),Cabo Verde,2019,Female,16.26,,
Healthy life expectancy (HALE) at age 60 (years),Argentina,2019,Both sexes,16.27,-34.0,-64.0
Healthy life expectancy (HALE) at age 60 (years),Venezuela (Bolivarian Republic of),2019,Both sexes,16.29,,
Healthy life expectancy (HALE) at age 60 (years),Cuba,2019,Both sexes,16.31,21.5,-80.0
Healthy life expectancy (HALE) at age 60 (years),Montenegro,2019,Female,16.31,42.0,19.0
Healthy life expectancy (HALE) at age 60 (years),Czechia,2019,Both sexes,16.32,,
Healthy life expectancy (HALE) at age 60 (years),Jordan,2019,Male,16.33,31.0,36.0
Healthy life expectancy (HALE) at age 60 (years),Nicaragua,2019,Female,16.33,13.0,-85.0
Healthy life expectancy (HALE) at age 60 (years),Antigua and Barbuda,2019,Female,16.34,17.05,-61.8
Healthy life expectancy (HALE) at age 60 (years),Barbados,2019,Both sexes,16.34,13.17,-59.53
Healthy life expectancy (HALE) at age 60 (years),Brazil,2019,Both sexes,16.35,-10.0,-55.0
Healthy life expectancy (HALE) at age 60 (years),United States of America,2019,Both sexes,16.35,,
Healthy life expectancy (HALE) at age 60 (years),El Salvador,2019,Both sexes,16.38,13.83,-88.92
Healthy life expectancy (HALE) at age 60 (years),Jamaica,2019,Both sexes,16.39,18.25,-77.5
Healthy life expectancy (HALE) at age 60 (years),Viet Nam,2019,Female,16.4,,
Healthy life expectancy (HALE) at age 60 (years),Maldives,2019,Male,16.41,3.25,73.0
Healthy life expectancy (HALE) at age 60 (years),Slovenia,2019,Male,16.41,46.0,15.0
Healthy life expectancy (HALE) at age 60 (years),Saint Vincent and the Grenadines,2019,Female,16.44,13.25,-61.2
Healthy life expectancy (HALE) at age 60 (years),Paraguay,2019,Both sexes,16.48,-23.0,-58.0
Healthy life expectancy (HALE) at age 60 (years),Slovakia,2019,Both sexes,16.57,48.67,19.5
Healthy life expectancy (HALE) at age 60 (years),Albania,2019,Both sexes,16.58,41.0,20.0
Healthy life expectancy (HALE) at age 60 (years),Sri Lanka,2019,Female,16.6,7.0,81.0
Healthy life expectancy (HALE) at age 60 (years),Türkiye,2019,Both sexes,16.6,,
Healthy life expectancy (HALE) at age 60 (years),Uruguay,2019,Both sexes,16.64,-33.0,-56.0
Healthy life expectancy (HALE) at age 60 (years),Russian Federation,2019,Female,16.66,60.0,100.0
Healthy life expectancy (HALE) at age 60 (years),Ukraine,2019,Female,16.66,49.0,32.0
Healthy life expectancy (HALE) at age 60 (years),Belize,2019,Both sexes,16.69,17.25,-88.75
Healthy life expectancy (HALE) at age 60 (years),Tunisia,2019,Female,16.78,34.0,9.0
Healthy life expectancy (HALE) at age 60 (years),Maldives,2019,Both sexes,16.79,3.25,73.0
Healthy life expectancy (HALE) at age 60 (years),Mexico,2019,Female,16.8,23.0,-102.0
Healthy life expectancy (HALE) at age 60 (years),Kyrgyzstan,2019,Female,16.82,41.0,75.0
Healthy life expectancy (HALE) at age 60 (years),Hungary,2019,Female,16.83,47.0,20.0
Healthy life expectancy (HALE) at age 60 (years),Poland,2019,Both sexes,16.84,52.0,20.0
Healthy life expectancy (HALE) at age 60 (years),Bulgaria,2019,Female,16.86,43.0,25.0
Healthy life expectancy (HALE) at age 60 (years),Armenia,2019,Female,16.92,40.0,45.0
Healthy life expectancy (HALE) at age 60 (years),Barbados,2019,Female,16.92,13.17,-59.53
Healthy life expectancy (HALE) at age 60 (years),China,2019,Female,16.93,35.0,105.0
Healthy life expectancy (HALE) at age 60 (years),Germany,2019,Male,16.95,51.0,9.0
Healthy life expectancy (HALE) at age 60 (years),Ecuador,2019,Male,16.96,-2.0,-77.5
Healthy life expectancy (HALE) at age 60 (years),Thailand,2019,Male,16.99,15.0,100.0
Healthy life expectancy (HALE) at age 60 (years),United States of America,2019,Female,17.06,,
Healthy life expectancy (HALE) at age 60 (years),Colombia,2019,Male,17.08,4.0,-72.0
Healthy life expectancy (HALE) at age 60 (years),Panama,2019,Male,17.08,9.0,-80.0
Healthy life expectancy (HALE) at age 60 (years),Kuwait,2019,Male,17.1,29.34,47.66
Healthy life expectancy (HALE) at age 60 (years),Saint Lucia,2019,Female,17.13,13.88,-61.13
Healthy life expectancy (HALE) at age 60 (years),Belgium,2019,Male,17.17,50.83,4.0
Healthy life expectancy (HALE) at age 60 (years),Austria,2019,Male,17.18,47.33,13.33
Healthy life expectancy (HALE) at age 60 (years),Dominican Republic,2019,Female,17.2,19.0,-70.67
Healthy life expectancy (HALE) at age 60 (years),Belarus,2019,Female,17.22,53.0,28.0
Healthy life expectancy (HALE) at age 60 (years),Maldives,2019,Female,17.23,3.25,73.0
Healthy life expectancy (HALE) at age 60 (years),Trinidad and Tobago,2019,Both sexes,17.24,11.0,-61.0
Healthy life expectancy (HALE) at age 60 (years),Bahamas,2019,Female,17.27,24.25,-76.0
Healthy life expectancy (HALE) at age 60 (years),Estonia,2019,Both sexes,17.29,59.0,26.0
Healthy life expectancy (HALE) at age 60 (years),Portugal,2019,Male,17.31,39.5,-8.0
Healthy life expectancy (HALE) at age 60 (years),Türkiye,2019,Female,17.31,,
Healthy life expectancy (HALE) at age 60 (years),Albania,2019,Female,17.32,41.0,20.0
Healthy life expectancy (HALE) at age 60 (years),Chile,2019,Male,17.32,-30.0,-71.0
Healthy life expectancy (HALE) at age 60 (years),Greece,2019,Male,17.32,39.0,22.0
Healthy life expectancy (HALE) at age 60 (years),Romania,2019,Female,17.32,46.0,25.0
Healthy life expectancy (HALE) at age 60 (years),Jamaica,2019,Female,17.33,18.25,-77.5
Healthy life expectancy (HALE) at age 60 (years),Finland,2019,Male,17.34,64.0,26.0
Healthy life expectancy (HALE) at age 60 (years),Brazil,2019,Female,17.39,-10.0,-55.0
Healthy life expectancy (HALE) at age 60 (years),Cuba,2019,Female,17.39,21.5,-80.0
Healthy life expectancy (HALE) at age 60 (years),El Salvador,2019,Female,17.44,13.83,-88.92
Healthy life expectancy (HALE) at age 60 (years),Latvia,2019,Female,17.45,57.0,25.0
Healthy life expectancy (HALE) at age 60 (years),Venezuela (Bolivarian Republic of),2019,Female,17.5,,
Healthy life expectancy (HALE) at age 60 (years),Denmark,2019,Male,17.56,56.0,10.0
Healthy life expectancy (HALE) at age 60 (years),Argentina,2019,Female,17.58,-34.0,-64.0
Healthy life expectancy (HALE) at age 60 (years),Paraguay,2019,Female,17.58,-23.0,-58.0
Healthy life expectancy (HALE) at age 60 (years),Belize,2019,Female,17.6,17.25,-88.75
Healthy life expectancy (HALE) at age 60 (years),Ecuador,2019,Both sexes,17.6,-2.0,-77.5
Healthy life expectancy (HALE) at age 60 (years),United Kingdom of Great Britain and Northern Ireland,2019,Male,17.62,,
Healthy life expectancy (HALE) at age 60 (years),Croatia,2019,Female,17.65,45.17,15.5
Healthy life expectancy (HALE) at age 60 (years),Luxembourg,2019,Male,17.71,49.75,6.17
Healthy life expectancy (HALE) at age 60 (years),Czechia,2019,Female,17.75,,
Healthy life expectancy (HALE) at age 60 (years),Kuwait,2019,Both sexes,17.78,29.34,47.66
Healthy life expectancy (HALE) at age 60 (years),Costa Rica,2019,Male,17.8,10.0,-84.0
Healthy life expectancy (HALE) at age 60 (years),Lithuania,2019,Female,17.82,56.0,24.0
Healthy life expectancy (HALE) at age 60 (years),Norway,2019,Male,17.83,62.0,10.0
Healthy life expectancy (HALE) at age 60 (years),Slovenia,2019,Both sexes,17.83,46.0,15.0
Healthy life expectancy (HALE) at age 60 (years),Italy,2019,Male,17.88,42.83,12.83
Healthy life expectancy (HALE) at age 60 (years),New Zealand,2019,Male,17.91,-41.0,174.0
Healthy life expectancy (HALE) at age 60 (years),Netherlands,2019,Male,17.92,52.5,5.75
Healthy life expectancy (HALE) at age 60 (years),Thailand,2019,Both sexes,17.96,15.0,100.0
Healthy life expectancy (HALE) at age 60 (years),Spain,2019,Male,17.98,40.0,-4.0
Healthy life expectancy (HALE) at age 60 (years),Ireland,2019,Male,17.99,53.0,-8.0
Healthy life expectancy (HALE) at age 60 (years),Malta,2019,Male,18.03,35.83,14.58
Healthy life expectancy (HALE) at age 60 (years),Colombia,2019,Both sexes,18.06,4.0,-72.0
Healthy life expectancy (HALE) at age 60 (years),Cyprus,2019,Male,18.06,35.0,33.0
Healthy life expectancy (HALE) at age 60 (years),Panama,2019,Both sexes,18.14,9.0,-80.0
Healthy life expectancy (HALE) at age 60 (years),Uruguay,2019,Female,18.16,-33.0,-56.0
Healthy life expectancy (HALE) at age 60 (years),Belgium,2019,Both sexes,18.17,50.83,4.0
Healthy life expectancy (HALE) at age 60 (years),Ecuador,2019,Female,18.2,-2.0,-77.5
Healthy life expectancy (HALE) at age 60 (years),Canada,2019,Male,18.21,60.0,-95.0
Healthy life expectancy (HALE) at age 60 (years),Republic of Korea,2019,Male,18.21,,
Healthy life expectancy (HALE) at age 60 (years),Slovakia,2019,Female,18.21,48.67,19.5
Healthy life expectancy (HALE) at age 60 (years),Denmark,2019,Both sexes,18.23,56.0,10.0
Healthy life expectancy (HALE) at age 60 (years),Australia,2019,Male,18.25,-27.0,133.0
Healthy life expectancy (HALE) at age 60 (years),United Kingdom of Great Britain and Northern Ireland,2019,Both sexes,18.25,,
Healthy life expectancy (HALE) at age 60 (years),Peru,2019,Male,18.27,-10.0,-76.0
Healthy life expectancy (HALE) at age 60 (years),Sweden,2019,Male,18.33,62.0,15.0
Healthy life expectancy (HALE) at age 60 (years),Austria,2019,Both sexes,18.35,47.33,13.33
Healthy life expectancy (HALE) at age 60 (years),Chile,2019,Both sexes,18.37,-30.0,-71.0
Healthy life expectancy (HALE) at age 60 (years),Greece,2019,Both sexes,18.44,39.0,22.0
Healthy life expectancy (HALE) at age 60 (years),Netherlands,2019,Both sexes,18.44,52.5,5.75
Healthy life expectancy (HALE) at age 60 (years),Finland,2019,Both sexes,18.46,64.0,26.0
Healthy life expectancy (HALE) at age 60 (years),Norway,2019,Both sexes,18.46,62.0,10.0
Healthy life expectancy (HALE) at age 60 (years),Germany,2019,Both sexes,18.47,51.0,9.0
Healthy life expectancy (HALE) at age 60 (years),France,2019,Male,18.48,46.0,2.0
Healthy life expectancy (HALE) at age 60 (years),Peru,2019,Both sexes,18.49,-10.0,-76.0
Healthy life expectancy (HALE) at age 60 (years),Luxembourg,2019,Both sexes,18.52,49.75,6.17
Healthy life expectancy (HALE) at age 60 (years),Poland,2019,Female,18.52,52.0,20.0
Healthy life expectancy (HALE) at age 60 (years),New Zealand,2019,Both sexes,18.55,-41.0,174.0
Healthy life expectancy (HALE) at age 60 (years),Ireland,2019,Both sexes,18.58,53.0,-8.0
Healthy life expectancy (HALE) at age 60 (years),Iceland,2019,Male,18.62,65.0,-18.0
Healthy life expectancy (HALE) at age 60 (years),Portugal,2019,Both sexes,18.65,39.5,-8.0
Healthy life expectancy (HALE) at age 60 (years),Costa Rica,2019,Both sexes,18.69,10.0,-84.0
Healthy life expectancy (HALE) at age 60 (years),Peru,2019,Female,18.7,-10.0,-76.0
Healthy life expectancy (HALE) at age 60 (years),Israel,2019,Male,18.73,31.5,34.75
Healthy life expectancy (HALE) at age 60 (years),Thailand,2019,Female,18.8,15.0,100.0
Healthy life expectancy (HALE) at age 60 (years),Singapore,2019,Male,18.81,1.37,103.8
Healthy life expectancy (HALE) at age 60 (years),Japan,2019,Male,18.82,36.0,138.0
Healthy life expectancy (HALE) at age 60 (years),Switzerland,2019,Male,18.82,47.0,8.0
Healthy life expectancy (HALE) at age 60 (years),United Kingdom of Great Britain and Northern Ireland,2019,Female,18.85,,
Healthy life expectancy (HALE) at age 60 (years),Denmark,2019,Female,18.86,56.0,10.0
Healthy life expectancy (HALE) at age 60 (years),Malta,2019,Both sexes,18.86,35.83,14.58
Healthy life expectancy (HALE) at age 60 (years),Sweden,2019,Both sexes,18.86,62.0,15.0
Healthy life expectancy (HALE) at age 60 (years),Trinidad and Tobago,2019,Female,18.88,11.0,-61.0
Healthy life expectancy (HALE) at age 60 (years),Italy,2019,Both sexes,18.91,42.83,12.83
Healthy life expectancy (HALE) at age 60 (years),Kuwait,2019,Female,18.92,29.34,47.66
Healthy life expectancy (HALE) at age 60 (years),Colombia,2019,Female,18.93,4.0,-72.0
Healthy life expectancy (HALE) at age 60 (years),Netherlands,2019,Female,18.94,52.5,5.75
Healthy life expectancy (HALE) at age 60 (years),Australia,2019,Both sexes,18.98,-27.0,133.0
Healthy life expectancy (HALE) at age 60 (years),Canada,2019,Both sexes,18.99,60.0,-95.0
Healthy life expectancy (HALE) at age 60 (years),Cyprus,2019,Both sexes,19.0,35.0,33.0
Healthy life expectancy (HALE) at age 60 (years),Iceland,2019,Both sexes,19.04,65.0,-18.0
Healthy life expectancy (HALE) at age 60 (years),Norway,2019,Female,19.05,62.0,10.0
Healthy life expectancy (HALE) at age 60 (years),Belgium,2019,Female,19.11,50.83,4.0
Healthy life expectancy (HALE) at age 60 (years),Estonia,2019,Female,19.14,59.0,26.0
Healthy life expectancy (HALE) at age 60 (years),Ireland,2019,Female,19.15,53.0,-8.0
Healthy life expectancy (HALE) at age 60 (years),Slovenia,2019,Female,19.15,46.0,15.0
Healthy life expectancy (HALE) at age 60 (years),New Zealand,2019,Female,19.17,-41.0,174.0
Healthy life expectancy (HALE) at age 60 (years),Panama,2019,Female,19.2,9.0,-80.0
Healthy life expectancy (HALE) at age 60 (years),Spain,2019,Both sexes,19.2,40.0,-4.0
Healthy life expectancy (HALE) at age 60 (years),Chile,2019,Female,19.26,-30.0,-71.0
Healthy life expectancy (HALE) at age 60 (years),Luxembourg,2019,Female,19.31,49.75,6.17
Healthy life expectancy (HALE) at age 60 (years),Israel,2019,Both sexes,19.33,31.5,34.75
Healthy life expectancy (HALE) at age 60 (years),Sweden,2019,Female,19.37,62.0,15.0
Healthy life expectancy (HALE) at age 60 (years),Austria,2019,Female,19.42,47.33,13.33
Healthy life expectancy (HALE) at age 60 (years),Iceland,2019,Female,19.45,65.0,-18.0
Healthy life expectancy (HALE) at age 60 (years),Finland,2019,Female,19.5,64.0,26.0
Healthy life expectancy (HALE) at age 60 (years),Greece,2019,Female,19.5,39.0,22.0
Healthy life expectancy (HALE) at age 60 (years),Switzerland,2019,Both sexes,19.52,47.0,8.0
Healthy life expectancy (HALE) at age 60 (years),Costa Rica,2019,Female,19.54,10.0,-84.0
Healthy life expectancy (HALE) at age 60 (years),Malta,2019,Female,19.63,35.83,14.58
Healthy life expectancy (HALE) at age 60 (years),France,2019,Both sexes,19.7,46.0,2.0
Healthy life expectancy (HALE) at age 60 (years),Australia,2019,Female,19.71,-27.0,133.0
Healthy life expectancy (HALE) at age 60 (years),Canada,2019,Female,19.72,60.0,-95.0
Healthy life expectancy (HALE) at age 60 (years),Republic of Korea,2019,Both sexes,19.81,,
Healthy life expectancy (HALE) at age 60 (years),Portugal,2019,Female,19.82,39.5,-8.0
Healthy life expectancy (HALE) at age 60 (years),Italy,2019,Female,19.84,42.83,12.83
Healthy life expectancy (HALE) at age 60 (years),Cyprus,2019,Female,19.88,35.0,33.0
Healthy life expectancy (HALE) at age 60 (years),Israel,2019,Female,19.88,31.5,34.75
Healthy life expectancy (HALE) at age 60 (years),Germany,2019,Female,19.92,51.0,9.0
Healthy life expectancy (HALE) at age 60 (years),Singapore,2019,Both sexes,19.95,1.37,103.8
Healthy life expectancy (HALE) at age 60 (years),Switzerland,2019,Female,20.18,47.0,8.0
Healthy life expectancy (HALE) at age 60 (years),Spain,2019,Female,20.33,40.0,-4.0
Healthy life expectancy (HALE) at age 60 (years),Japan,2019,Both sexes,20.39,36.0,138.0
Healthy life expectancy (HALE) at age 60 (years),France,2019,Female,20.82,46.0,2.0
Healthy life expectancy (HALE) at age 60 (years),Singapore,2019,Female,21.05,1.37,103.8
Healthy life expectancy (HALE) at age 60 (years),Republic of Korea,2019,Female,21.2,,
Healthy life expectancy (HALE) at age 60 (years),Japan,2019,Female,21.85,36.0,138.0
Healthy life expectancy (HALE) at age 60 (years),Lesotho,2019,Male,8.26,-29.5,28.5
Healthy life expectancy (HALE) at age 60 (years),Central African Republic,2019,Male,8.64,7.0,21.0
Healthy life expectancy (HALE) at age 60 (years),Eswatini,2019,Male,9.04,,
Healthy life expectancy (HALE) at age 60 (years),Kiribati,2019,Male,9.53,1.42,173.0
Healthy life expectancy (HALE) at age 60 (years),Lesotho,2019,Both sexes,9.79,-29.5,28.5
Healthy life expectancy (HALE) at age 60 (years),Mozambique,2019,Male,9.85,-18.25,35.0
Healthy life expectancy (HALE) at age 60 (years),Central African Republic,2019,Both sexes,9.95,7.0,21.0
